date,y
2016-06-13,3838.0
2016-06-14,4404.0
2016-06-15,4829.0
2016-06-16,4334.0
2016-06-17,3739.0
2016-06-18,2876.0
2016-06-19,3017.0
2016-06-20,4370.0
2016-06-21,5163.0
2016-06-22,4835.0
2016-06-23,5116.0
2016-06-24,4664.0
2016-06-25,3330.0
2016-06-26,4037.0
2016-06-27,4890.0
2016-06-28,4558.0
2016-06-29,4118.0
2016-06-30,4009.0
2016-07-01,3362.0
2016-07-02,2903.0
2016-07-03,2947.0
2016-07-04,3343.0
2016-07-05,4128.0
2016-07-06,3797.0
2016-07-07,3525.0
2016-07-08,4020.0
2016-07-09,3198.0
2016-07-10,3204.0
2016-07-11,3524.0
2016-07-12,4373.0
2016-07-13,3707.0
2016-07-14,3829.0
2016-07-15,3382.0
2016-07-16,2789.0
2016-07-17,3640.0
2016-07-18,3820.0
2016-07-19,4050.0
2016-07-20,4117.0
2016-07-21,3650.0
2016-07-22,3301.0
2016-07-23,2748.0
2016-07-24,4226.0
2016-07-25,3748.0
2016-07-26,3893.0
2016-07-27,3668.0
2016-07-28,4618.0
2016-07-29,3821.0
2016-07-30,4507.0
2016-07-31,3428.0
2016-08-01,3910.0
2016-08-02,3894.0
2016-08-03,3716.0
2016-08-04,3841.0
2016-08-05,3495.0
2016-08-06,2552.0
2016-08-07,3012.0
2016-08-08,3481.0
2016-08-09,4187.0
2016-08-10,3900.0
2016-08-11,4085.0
2016-08-12,3599.0
2016-08-13,2671.0
2016-08-14,3276.0
2016-08-15,4047.0
2016-08-16,4665.0
2016-08-17,4023.0
2016-08-18,4055.0
2016-08-19,4688.0
2016-08-20,3320.0
2016-08-21,3678.0
2016-08-22,5056.0
2016-08-23,5929.0
2016-08-24,5328.0
2016-08-25,5355.0
2016-08-26,5461.0
2016-08-27,4190.0
2016-08-28,4194.0
2016-08-29,5832.0
2016-08-30,6455.0
2016-08-31,5931.0
2016-09-01,5000.0
2016-09-02,5070.0
2016-09-03,3557.0
2016-09-04,5533.0
2016-09-05,4902.0
2016-09-06,6081.0
2016-09-07,6355.0
2016-09-08,6913.0
2016-09-09,5939.0
2016-09-10,3147.0
2016-09-11,3456.0
2016-09-12,5326.0
2016-09-13,5930.0
2016-09-14,5642.0
2016-09-15,6483.0
2016-09-16,4342.0
2016-09-17,2974.0
2016-09-18,3431.0
2016-09-19,5436.0
2016-09-20,5642.0
2016-09-21,5970.0
2016-09-22,5502.0
2016-09-23,5561.0
2016-09-24,3051.0
2016-09-25,3425.0
2016-09-26,5264.0
2016-09-27,5279.0
2016-09-28,5355.0
2016-09-29,6055.0
2016-09-30,5869.0
2016-10-01,3169.0
2016-10-02,3158.0
2016-10-03,4863.0
2016-10-04,5059.0
2016-10-05,8169.0
2016-10-06,5829.0
2016-10-07,4310.0
2016-10-08,2995.0
2016-10-09,2969.0
2016-10-10,4214.0
2016-10-11,5178.0
2016-10-12,5345.0
2016-10-13,5527.0
2016-10-14,4711.0
2016-10-15,2914.0
2016-10-16,3258.0
2016-10-17,5094.0
2016-10-18,5519.0
2016-10-19,5107.0
2016-10-20,5069.0
2016-10-21,5085.0
2016-10-22,2841.0
2016-10-23,3530.0
2016-10-24,4771.0
2016-10-25,5010.0
2016-10-26,5959.0
2016-10-27,4819.0
2016-10-28,4778.0
2016-10-29,2791.0
2016-10-30,2724.0
2016-10-31,4214.0
2016-11-01,4991.0
2016-11-02,5057.0
2016-11-03,5595.0
2016-11-04,4463.0
2016-11-05,2934.0
2016-11-06,3225.0
2016-11-07,5283.0
2016-11-08,4934.0
2016-11-09,4836.0
2016-11-10,5062.0
2016-11-11,3737.0
2016-11-12,2828.0
2016-11-13,2869.0
2016-11-14,4857.0
2016-11-15,6480.0
2016-11-16,5043.0
2016-11-17,5212.0
2016-11-18,4287.0
2016-11-19,2737.0
2016-11-20,3099.0
2016-11-21,4490.0
2016-11-22,4270.0
2016-11-23,4291.0
2016-11-24,3144.0
2016-11-25,3421.0
2016-11-26,2631.0
2016-11-27,2923.0
2016-11-28,4799.0
2016-11-29,5094.0
2016-11-30,5075.0
2016-12-01,4935.0
2016-12-02,4442.0
2016-12-03,2794.0
2016-12-04,3073.0
2016-12-05,4973.0
2016-12-06,5209.0
2016-12-07,5322.0
2016-12-08,4953.0
2016-12-09,4260.0
2016-12-10,2829.0
2016-12-11,2980.0
2016-12-12,4521.0
2016-12-13,5302.0
2016-12-14,4591.0
2016-12-15,4106.0
2016-12-16,3498.0
2016-12-17,2435.0
2016-12-18,2634.0
2016-12-19,3811.0
2016-12-20,3626.0
2016-12-21,3222.0
2016-12-22,2897.0
2016-12-23,2444.0
2016-12-24,2019.0
2016-12-25,1904.0
2016-12-26,2362.0
2016-12-27,2431.0
2016-12-28,2685.0
2016-12-29,2896.0
2016-12-30,2521.0
2016-12-31,2152.0
